eta, lambda, accuracy, cost
1.023036e-01, 2.207415e-13, 5.264735e+01, 1.331462e+00
9.332456e-02, 4.747314e-04, 5.184815e+01, 1.404617e+00
9.917461e-02, 1.155115e-10, 5.244755e+01, 1.360521e+00
1.037761e-01, 1.275094e-12, 5.214785e+01, 1.369640e+00
1.095967e-01, 3.652101e-12, 5.204795e+01, 1.362311e+00
9.014454e-02, 1.465635e-12, 5.224775e+01, 1.361927e+00
1.060792e-01, 9.415012e-07, 5.374625e+01, 1.339073e+00
9.585176e-02, 2.014419e-11, 5.114885e+01, 1.349132e+00
1.082084e-01, 3.770244e-07, 5.194805e+01, 1.381758e+00
9.371285e-02, 6.889982e-07, 5.124875e+01, 1.354069e+00
9.069583e-02, 1.197539e-08, 5.194805e+01, 1.408448e+00
1.089129e-01, 3.871980e-14, 5.284715e+01, 1.340977e+00
9.838128e-02, 1.216761e-12, 5.264735e+01, 1.350558e+00
9.214414e-02, 1.555420e-09, 5.214785e+01, 1.340372e+00
